mean_vel,std_vel,max_vel,min_vel,ptp_vel,rms_vel,energy_vel,dominant_freq_vel,spectral_centroid_vel,station_id,channel,sampling_rate,event_name
4.5442753901978276e-10,1.0502603384993946e-06,4.3583086903259775e-06,-3.967455625723697e-06,8.325764316049676e-06,1.0502604368104377e-06,3.9709691464653054e-10,0.244140625,0.4036080760787481,UGM,SHE,50.0,event_query?eventid=11797602
6.835204742079821e-10,3.208103477598716e-06,2.5994319807022456e-05,-3.744474043061058e-05,6.343906023763304e-05,3.2081035504143586e-06,3.705094220465237e-09,0.244140625,0.990265045667849,UGM,SHN,50.0,event_query?eventid=11820841
-7.6056127547371e-11,2.668043662145606e-06,1.3143407591398701e-05,-1.682617485910496e-05,2.996958245050366e-05,2.668043663229646e-06,2.5626445160039534e-09,0.244140625,0.904188026840179,UGM,SHZ,50.0,event_query?eventid=11820841
3.1234701155820735e-10,2.775076527755413e-06,2.779151404590553e-05,-2.1317481726049346e-05,4.9108995771954874e-05,2.7750765453334246e-06,2.7723779396854904e-09,0.244140625,1.1458133803243153,UGM,SHE,50.0,event_query?eventid=11820841
3.953723887538124e-10,1.1900949014518105e-05,7.832371480070016e-05,-7.359731025500683e-05,0.00015192102505570698,1.1900949021085619e-05,5.098773153689236e-08,0.15625,0.6005895143393918,XMI,BHN,40.0,event_query?eventid=11857991
4.811421323243237e-10,6.962157426784785e-06,3.4344447741646644e-05,-3.847232300254879e-05,7.281677074419542e-05,6.962157443410217e-06,1.7449789056059625e-08,0.15625,0.6999951883318422,XMI,BHZ,40.0,event_query?eventid=11857991
-1.7906833184104773e-09,1.3147506049406914e-05,6.584266498470289e-05,-8.411455576775215e-05,0.00014995722075245504,1.314750617135197e-05,6.222849066926574e-08,0.15625,0.593613172205227,XMI,BHE,40.0,event_query?eventid=11857991
-4.135017386016041e-10,2.0174756599122037e-06,1.265423703572969e-05,-1.1352871563525609e-05,2.40071085992553e-05,2.0174757022878543e-06,1.4652749553558737e-09,0.341796875,0.7290825788259726,UGM,SHZ,50.0,event_query?eventid=11848665
-1.9699312288475583e-09,2.094513413154657e-06,9.229357173146674e-06,-1.007388554937749e-05,1.9303242722524162e-05,2.0945143395340645e-06,1.5793165146649747e-09,0.146484375,0.6971309234670924,UGM,SHE,50.0,event_query?eventid=11848665
4.155636485086626e-10,2.13526868532721e-06,1.034291720986463e-05,-1.1184781510544023e-05,2.1527698720408652e-05,2.1352687257654807e-06,1.64137411124357e-09,0.146484375,0.7561216465210339,UGM,SHN,50.0,event_query?eventid=11848665
7.885724880079313e-10,5.539300610665002e-06,5.855301564066987e-05,-7.70138060325625e-05,0.00013556682167323238,5.539300666795423e-06,1.1046186675777682e-08,2.1484375,2.651022520802314,XMI,BHE,40.0,event_query?eventid=11794521
-3.2279259028324517e-09,3.278704060881146e-06,3.4782020511612476e-05,-4.1550596490425494e-05,7.633261700203798e-05,3.278705649847841e-06,3.869967865803895e-09,0.234375,2.611102877067125,XMI,BHZ,40.0,event_query?eventid=11794521
1.2373496507924775e-09,6.950148652120235e-06,9.415260925585006e-05,-8.432123483828839e-05,0.00017847384409413845,6.95014876226422e-06,1.7389644414337033e-08,2.734375,2.926302479729214,XMI,BHN,40.0,event_query?eventid=11794521
1.0984745221829127e-10,2.9253577869496586e-06,4.8497960860249974e-05,-3.9923305227959854e-05,8.842126608820983e-05,2.9253577890120495e-06,3.080778549744048e-09,2.83203125,3.3355689334163334,UGM,SHZ,50.0,event_query?eventid=11888763
3.2024678772735955e-10,4.387803847637096e-06,0.00012085934200091293,-6.951858658002488e-05,0.00019037792858093782,4.3878038593238074e-06,6.9310161748428844e-09,2.5390625,2.442397971611596,UGM,SHN,50.0,event_query?eventid=11888763
3.1859510475340286e-10,4.77269507060836e-06,0.0001005841823393179,-0.00014001819376783815,0.00024060237610715605,4.772695081242064e-06,8.200302601864388e-09,2.294921875,2.6555349744697785,UGM,SHE,50.0,event_query?eventid=11888763
8.824375571063999e-10,1.8254213316523205e-06,5.909066708570128e-06,-7.1934163857757975e-06,1.3102483094345927e-05,1.8254215449444472e-06,1.199578974029054e-09,0.146484375,0.36222724162415665,UGM,SHN,50.0,event_query?eventid=11852264
-1.2543233144337515e-10,1.3600582711231502e-06,5.013438426842818e-06,-6.0080326745222005e-06,1.1021471101365019e-05,1.3600582769071928e-06,6.659130659701544e-10,0.146484375,0.5453644877068105,UGM,SHE,50.0,event_query?eventid=11852264
-5.8042716811231334e-12,1.638930407483264e-06,5.219482721284591e-06,-6.623978842447703e-06,1.1843461563732294e-05,1.638930407493542e-06,9.669934370185011e-10,0.29296875,0.43880221800465463,UGM,SHZ,50.0,event_query?eventid=11852264
-4.636634336315301e-10,1.3598995148991248e-05,0.00015342624418598924,-0.0001690185654607293,0.00032244480964671856,1.3598995156895648e-05,6.657576093981767e-08,1.806640625,1.9336004654287637,UGM,SHE,50.0,event_query?eventid=11884202
-2.8823751443258183e-10,1.4593717104310842e-05,0.00013228820281267382,-0.00017994854547375788,0.0003122367482864317,1.4593717107157302e-05,7.667156844134484e-08,1.3671875,1.6192216854373167,UGM,SHN,50.0,event_query?eventid=11884202
1.8418489885198792e-10,1.140234406488633e-05,0.00014598493286763464,-0.00010130794115313307,0.00024729287402076774,1.1402344066373923e-05,4.6804842074870146e-08,1.953125,1.7965608024456439,UGM,SHZ,50.0,event_query?eventid=11884202
-5.640171404062726e-11,8.894093524802667e-06,0.00017267513713553064,-0.0001226084810088355,0.0002952836181443661,8.894093524981501e-06,2.847776386720243e-08,3.466796875,3.228685064833698,UGM,SHZ,50.0,event_query?eventid=11899932
4.671412965756419e-10,1.163162763490491e-05,0.00022926841358811756,-0.00021421368313555162,0.00044348209672366915,1.163162764428541e-05,4.870611419590965e-08,1.66015625,2.5861939732173287,UGM,SHN,50.0,event_query?eventid=11899932
-9.477702183750346e-10,1.1910330713917975e-05,0.0002683733257564,-0.00022398944329200191,0.0004923627690484019,1.1910330751627605e-05,5.106815230073983e-08,2.734375,2.9704467864629716,UGM,SHE,50.0,event_query?eventid=11899932
-2.677266835689071e-10,3.4039143050582897e-06,3.487881704724163e-05,-3.3678076900812e-05,6.855689394805363e-05,3.4039143155869884e-06,4.171187760428893e-09,0.634765625,2.5407246942331794,UGM,SHE,50.0,event_query?eventid=11814510
