station_id,station_lat,station_lon,station_elev,distance_to_event,pga,rms_acc,arias_intensity,sig_duration,predominant_freq,mean_freq,spectral_centroid,low_freq_energy,mid_freq_energy,high_freq_energy,component
YP.NEP4..BHZ,45.262798,123.583298,137.0,16.463044075967456,0.0031797690283022727,0.0006953265678456651,5.1094293551789995e-05,328.35,0.0390625,0.27524988161655317,0.27524988161655317,2.340515993317361e-05,8.044897928079816e-07,2.7050442981937453e-07,Z
YP.NE94..BHN,46.896,123.343498,145.0,17.267317276351015,0.001844852078277123,0.00038338864228940067,1.5533641540459477e-05,343.20000000000005,0.029296875,0.528483179023871,0.528483179023871,9.716647315130154e-06,1.988233053765651e-06,1.299617556644318e-08,N
YP.NE7C..BHN,45.528599,127.818604,303.0,13.89090785651771,1.039260983860311e-06,2.1291770937295938e-07,4.791095480530942e-12,578.0500000000001,13.974609375,11.250518178031909,11.250518178031909,5.229857061399789e-15,2.7604855343747454e-13,4.504965397896225e-12,N
JP.JOW..BHE,26.836,128.272507,220.0,16.405418875005335,0.0004996407177829013,0.00012317390064632032,1.603485712094643e-06,176.75,0.029296875,0.13888851549778655,0.13888851549778655,9.781379054017214e-07,2.4092344109215236e-08,9.89813325315074e-10,E
YP.NE77..BHZ,45.4249,121.4953,340.0,17.898104310550764,0.002061241146709358,0.00043536790477045494,2.0031201314003216e-05,351.725,0.029296875,0.26631355965347914,0.26631355965347914,7.587105186457957e-06,4.141098383091047e-07,4.102758989690779e-08,Z
YP.NEAB..BHN,47.602501,131.668396,64.0,13.079191938457978,0.004399308395826074,0.0009897726153384038,0.00010353379253377535,367.82500000000005,0.078125,0.1593020805439006,0.1593020805439006,0.00010398157694803456,2.377102707326967e-06,3.208639318913666e-08,N
YP.NE83..BHZ,46.2132,118.801102,917.0,19.927035027214636,0.0010929590726684773,0.0002140374465779333,4.841411687391744e-06,353.40000000000003,0.01953125,0.8226140409370232,0.8226140409370232,2.834795640644284e-06,3.6943672828837427e-07,1.42592214995881e-07,Z
YP.NE96..BHE,46.879002,125.0522,149.0,16.221280700797507,0.003919711573517584,0.0006568697574037486,4.5598784933730934e-05,337.925,0.048828125,0.17934208108772298,0.17934208108772298,2.3496246926825883e-05,8.59531509584156e-07,1.5858060592347472e-09,E
YP.NE33..BHZ,42.926399,117.885803,1043.0,19.868311663970662,0.004138361749139681,0.0003723345499603484,1.4650800703603768e-05,353.675,0.01953125,3.403039248231557,3.403039248231557,5.173900987406054e-06,1.1815978038359593e-06,1.4970343338283025e-06,Z
YP.NE89..BHN,46.1539,124.207298,135.0,16.41211958903083,0.003947440583813053,0.0007513191528223234,5.965456657568823e-05,189.72500000000002,0.05859375,0.13272571540274866,0.13272571540274866,2.6158299038621213e-05,3.4686238759811167e-07,6.361158533191827e-09,N
